,county,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,stateFIPS,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
0,Chambers County          ,522.8 ,240,stable,-1.5 ,1,492.7, 554.5,-6.5, 3.7
1,Walker County          ,515.8 ,447,stable,0.2 ,1,494.0, 538.4,-2.8, 3.2
2,Lowndes County          ,513.3 ,71,rising,11.2 ,1,459.8, 571.8,6.3, 16.3
3,Dallas County          ,510.0 ,258,stable,0.7 ,1,481.6, 539.7,-9.8, 12.4
4,Autauga County          ,495.6 ,304,stable,-0.2 ,1,470.6, 521.5,-9.0, 9.6
5,Wilcox County          ,488.0 ,68,stable,1.6 ,1,435.7, 545.2,-4.9, 8.6
6,Lamar County          ,487.1 ,100,stable,5.4 ,1,443.9, 533.8,-4.7, 16.5
7,Covington County          ,486.0 ,251,stable,0.4 ,1,458.4, 515.0,-8.7, 10.4
8,Elmore County          ,485.8 ,436,rising,4.3 ,1,465.1, 507.2,2.5, 6.1
9,Bullock County          ,481.3 ,60,stable,4.3 ,1,427.3, 540.6,-7.7, 17.9
10,Russell County          ,480.2 ,300,stable,-4.0 ,1,455.7, 505.7,-7.8, 0.0
11,Etowah County          ,478.7 ,640,stable,0.8 ,1,461.9, 496.1,-2.7, 4.5
12,Bibb County          ,478.3 ,128,stable,-0.9 ,1,441.2, 517.8,-11.6, 11.1
13,Tallapoosa County          ,475.6 ,271,stable,-0.1 ,1,449.5, 503.0,-3.5, 3.3
14,St. Clair County          ,474.0 ,486,stable,-0.1 ,1,454.9, 493.8,-3.1, 3.1
15,Clarke County          ,472.1 ,155,stable,1.0 ,1,438.5, 507.7,-1.6, 3.7
16,Limestone County          ,472.1 ,484,stable,0.2 ,1,453.1, 491.7,-4.8, 5.4
17,Macon County          ,471.3 ,121,stable,11.4 ,1,432.7, 512.7,-3.7, 28.9
18,Marion County          ,471.3 ,201,stable,-0.3 ,1,441.5, 502.7,-6.3, 6.2
19,Lawrence County          ,470.5 ,203,stable,0.8 ,1,441.1, 501.4,-10.8, 13.9
20,Crenshaw County          ,469.2 ,86,rising,8.9 ,1,424.6, 517.5,5.5, 12.4
21,Greene County          ,468.2 ,56,stable,-7.9 ,1,411.5, 531.2,-21.8, 8.4
